제목	본문요약
[스포츠타임] 뎀벨레에게 하그리브스 향기가…'유리몸'의 역사	조별리그에서 무릎 부상으로 이탈한 뎀벨레가 또 한 번 수술과 재활 과정을 밟게 됐습니다. 복귀까지 최대 4개월이 걸릴 것으로 예상됩니다. 영국 데일리 메일에 따르면 2017년 여름 바르셀로나에 합류한 이후...
뢰브 감독 사임 결정… 캡틴 노이어, “유로 우승 이유 분명해졌다”	뢰브 감독은 올 6월 열리는 유럽축구연맹(UEFA)  대회를 끝마친 후 대표팀 지휘봉을 내려놓을 예정이다. 뢰브 감독은 현지 시간으로 9일, 오는 여름 독일 대표팀에서 물러난다는 소식을 전했다. 이르면 조별...
“모리뉴 지도 받고 싶었냐고? 물론, 세계 최고야” 로마 25년 레전드 극찬	최근 에서 순항 중인 이탈리아 대표팀에 관해서도 입을 열었다. “그들은 더 잘할 것이다. 경기장 안에서 열정을 보여줄 수 있다. 모두가 이기고 싶은 마음이 있다. 로베르토 만치니 감독에게 딱히 조언하지...
‘무적함대, 명예회복 나선다’…슬로바키아vs스페인, 선발 라인업 공개	슬로바키아와 스페인은 24일 오전 1시(한국시간) 스페인 세비야의 라 카르투야 스타디움에서 ‘ E조 조별 예선 3차전’ 일정을 소화한다. 슬로바키아의 선택은 4-2-3-1 포메이션이다. 공격은 최전방 온드레이 두다를...
‘레반돕, 16강으로 이끌 수 있을까’…스웨덴vs폴란드, 선발 라인업 공개	스웨덴과 폴란드 대표팀은 24일 오전 1시(한국시간) 러시아 상트페테르부르크의 상트페테르부르크 스타디움에서 ‘ E조 조별 예선 3차전’ 경기를 치른다. 스웨덴은 4-4-2 포메이션으로 나선다. 최전방 2톱은...
‘붕대투혼’ 호이비에르, 3경기에 3AS 에릭센 공백 지웠다	호이비에르는 22일 열린 러시아와의  조별리그 B조 최종전에서 공수에서 눈부신 활약을 펼쳤다. 코펜하겐 파르켄에서 열린 경기에서 호이비에르는 전반 29분 날카로운 중거리슛으로 팀 공격의 물꼬를 텄다. 이어...
'1500억부터 시작' 첼시-맨시티, MF 1명 두고 쩐의 전쟁	연령별 대표팀은 아일랜드에서 뛰었지만, 21세 이하(U-21) 대표팀부터는 잉글랜드 대표팀 유니폼을 입어 지난해엔 A대표팀에도 데뷔했다. 진행 중인 2020 유럽축구선수권대회()에서도 등번호 7번을 달고 뛰고 있다.
'포르투갈 천적' 독일, 측면을 지배하다 [김현민의 푸스발 리베로]	독일이 알리안츠 아레나 홈에서 열린 UEFA  본선 F조 2차전에서 4-2로 포르투갈을 대파했다. 이와 함께 독일은 1차전 프랑스전 패배를 씻고 기사회생하는 데 성공했다. 독일은 지난 프랑스전과 같은 3-4-2-1...
[CBC포토] 호날두-벤제마 'BBC라인이 그립네'	[반응이 센 CBC뉴스ㅣCBCNEWS]  23일(현지시간)  F조 포르투갈 대 프랑스의 경기에서 크리스티아누 호날두와 카림 벤제마가 전반전 종료 후 대화를 나누고 있다....
LG전자, 가전 호조에 2분기 연속 1조원대 영업익 전망	여름을 앞두고 계절가전의 판매가 늘고 있는 데다, 도쿄올림픽과 2020 유럽축구선수권대회()라는 스포츠 이벤트로 TV 판매 역시 증가했을 것으로 점쳐진다. 지난해 4분기까지 23분기 연속 적자를 나타낸 모바일...
[홍재민.해축탐구생활] 밑바닥 친 이탈리아가 돌아왔다	16강에 올라 있는 현재, 만치니 감독은 이탈리아 축구를 새롭게 바꾼 능력자로 추앙받는다. 물론 새로워질 수밖에 없는 환경적 요인도 있었다. 러시아월드컵 본선 진출 실패가 세대교체를 강제한 덕분에 만치니...
잉글랜드, 졸전 끝 스코틀랜드와 0-0 무승부…1승1무	잉글랜드는 19일(이하 한국시간) 영국 런던 웸블리 스타디움에서 열린 스코틀랜드와의 유럽축구연맹(UEFA) 유럽축구선수권()  D조 조별 라운드 2차전에서 0-0으로 비겼다. 잉글랜드는 1승1무(승점 4)를 기록, 16강...
[글로벌-스포츠 24] UEFA “코로나 사태에도 유로 2020대회, CL 결승토너먼트 일정 변경 없다”	(UEFA )의 개최계획 변경을 할 뜻이 없음을 분명히 했다. 지난해 연기가 결정된 이 대회는 올 6월 11일부터 7월 11일까지로 예정돼 있다. 그러나 설령 개최된다고 해도 광역에 걸친 유럽 12개 도시에서의 분산...
독일 비상! 뮐러-훔멜스-귄도안 동시 부상	독일 대표팀 베테랑 토마스 뮐러와 마츠 훔멜스, 그리고 일카이 귄도안이 부상을 당해 헝가리와의  F조 최종전에 출전이 불투명하다. 특히 뮐러는 헝가리전에 결장할 것이라고 독일 현지 언론들을 보도하고 있다....
주전 10명 빠져도… 伊 골문은 열리지 않았다	2020 유럽축구선수권대회() 첫 16강 진출을 확정한 이탈리아가 이 대회에서 최초로 조별리그 무실점·전승을 달성했다. ‘아주리 군단’ 이탈리아는 21일 이탈리아 로마의 올림피코 스타디움에서 열린 대회...
러 코로나19 다시 폭발적 증가…모스크바 신규 확진 9천명 넘어	유럽 축구선수권대회인 ''의 경기가 열리는 러시아 제2의 도시 상트페테르부르크 지방정부는 감염 확산을 억제하기 위해 팬 존이 지정된 도심 광장의 방문객 수를 제한하기로 했다. 러시아는 작년 8월 세계...
'역대급 중원 조합' 佛 캉테+포그바 조합, 동반 출격시 30G 무패...22승 8무	프랑스와 포르투갈은 24일(한국시간) 헝가리 부다페스트의 푸스카스 아레나서 열린  F조 조별리그 최종 3차전서 2-2로 비겼다. 레알 마드리드서 한솥밥을 먹었던 카림 벤제마(프랑스)와 크리스티아누 호날두...
스위스, 터키에 3-1 승리…터키 3전전패 탈락	스위스가 터키를 꺾고  16강행 가능성을 높였다. 스위스는 21일 오전(한국시간) 아제르바이잔 바쿠에서 열린  A조 3차전에서 터키에 3-1로 이겼다. 스위스는 이날 승리로 1승1무1패(승점 4점)를 기록해 조...
호날두 천적은 독일… 19년째 ‘무승의 저주’	‘전차군단’ 독일이 ‘디펜딩 챔피언’ 포르투갈에 역전승을 거두고 유럽축구선수권대회() 첫 승을 신고했다. 독일은 20일(한국시간) 독일 뮌헨 알리안츠 아레나에서 열린 대회 조별리그 F조 2차전에서...
아스날, 791억원 모아 르윈 지른다	에서 잉글랜드 대표팀으로 훈련 중인 이 공격수는 에버튼의 칼버트 르윈이다. 프리미어리그 5년차인 르윈의 합류로 과거의 영예를 찾을 수 있다고 아스날 보드진은 결론을 내린 것으로 전해진다. 아스날은...
[F조 정리] 죽음의 조에서 '모조리 살아남은' 우승후보 3팀	24일 오전(한국시간)  조별리그 F조 최종전 두 경기가 동시에 펼쳐졌다. 포르투갈과 프랑스는 헝가리 부다페스트의 푸슈카시 아레나에서 2-2로 비겼다. 독일 뮌헨에 위치한 알리안츠 아레나에서는 독일이...
에릭센, ICD 수술 마치고 퇴원..."수술 잘 됐습니다"	덴마크 축구대표팀의 주축 미드필더인 에릭센은 지난 13일 덴마크 코켄하겐의 파르켄서 열린  B조 핀란드와 첫 경기서 전반 42분 의식을 잃고 쓰러졌다. 다행히 빠른 조치와 심폐소생술(CPR)로 의식을 회복한 뒤...
유벤투스, '이탈리아 신성' 로카텔리 영입 협상 착수…"이적료 540억원"	UEFA 유럽축구선수권대회()에서 맹활약하고 있는 이탈리아 신성 미드필더 마누엘 로카텔리(사수올로)에 대한 유벤투스의 관심이 뜨겁다. 유수의 클럽들이 로카텔리를 예의주시하는 가운데 유벤투스가 먼저...
'이적설 쏟아지는데...' 토트넘 회장, 케인 '판매불가' 생각만 더욱 확고	맨시티는  진행 중에는 특별한 움직임으로 보이지 않을 것이다"고 언급했다. 우선 토트넘의 입장은 판매불가다. 토트넘이 최소 1억 5,000만 파운드(약 2,382억 원)의 이적료를 책정했다고 전해졌지만 그보다 더...
이탈리아, 웨일스 꺾고 조1위…82년만에 30경기 연속 무패	조별리그 최종전 이탈리아가 82년 만에 A매치 30경기 연속 무패를 달렸다. 이탈리아는 21일 오전(한국시간) 이탈리아 로마의 스타디오 올림피코에서 열린 유럽축구선수권대회() A조 조별리그...
쿠팡서 2900원 내야 볼 수 있는 올림픽…보편적 시청권과 콘텐츠 가치 사이	CJ ENM은 OTT '티빙'과 자체 채널을 통해 UEFA 을 중계하고 있다. 콘텐츠 업계에서는 스포츠 콘텐츠 유료화는 당연하다는 것이 중론이다. CP(콘텐츠 제공 사업자) 업계 관계자는 "비싼 스포츠 중계권료를 구매해...
[이 시각] 전쟁 같은 축구, 유럽과 남미가 들썩인다	유럽은 ''(6.11~7.11), 남미는 '코파 아메리카'(6.14~7.11) 열기가 뜨겁다. 지난해 코로나 탓에 대회가 열리지 못한 에너지가 뭉쳤다가 같이 폭발하는 듯하다. ''은 지난해 연기된 대회 명칭을 그대로 쓰고...
캐러거 “체코전, 케인 대신 칼버트 르윈 보고 싶어”	리버풀 레전드 출신 제이미 캐러거가  조별리그 체코와 최종전을 앞둔 잉글랜드가 해리 케인(토트넘)을 선발에서 제외해야 한다고 주장했다. 캐러거는 22일 영국 매체 ‘텔레그래프’에 기고한 체코전을 앞둔...
돈나룸마, PSG 5년 계약 임박, 메디컬 테스트 통과…연봉만 143억원	현재 진행 중인 에서도 주전 골키퍼로 활약 중이다. 이탈리아는 조별리그 3경기를 치렀는데 무실점으로 3연승, 16강에 진출했다. 현재 파리 생제르맹은 베테랑 골키퍼 케일러 나바스(코스타리카)를 보유하고...
맨유 래시포드, 어깨 부상 참고 뛰는 중…"유로 후 수술 가능성"	고통을 참고 뛰고 있는 (연기돼 올해 개최)가 끝난 뒤 수술을 받을 수도 있다"라고 보도했다. 증상은 생각보다 심각한 것으로 알려졌다. 매체에 따르면 래시포드는 해당 부상으로 점프하거나, 공을 드리블 할...
왕이 된 남자	포르투갈 축구대표팀 주장인 호날두는 16일 헝가리와 벌인  F조 1차전(헝가리 부다페스트)에서 두 골을 터뜨리며 3대0 승리에 힘을 보탰다. 유로 본선 무대 통산 10·11호 골을 몰아친 그는 미셸 플라티니(9골...
[GOAL 리뷰] 자책골 2골 얻은 스페인, 슬로바키아에 5-0 대승! 조2위로 16강 진출	스페인과 슬로바키아는 23일(현지시간) 라 카르투하 경기장에서 UEFA  E조 3차전 경기를 치렀다. 조별리그 3위로 불안했던 스페인은 슬로바키아에 5-0 승리를 거두며 극적으로 조2위로 16강에 진출했다. 같은 시간...
콜라 치운 호날두 이어…포그바, 기자회견서 후원사 맥주 내려놔	기자회견장서 맥주병 치워…종교적 신념 때문인 듯 선수들의 '소신'이 2020 유럽축구선수권대회() 스폰서 업체들을 연일 놀라게 하고 있다. 크리스티아누 호날두(유벤투스)가 ...
'헝가리 저항' 부딪힌 프랑스, 감독 용병술이 살려내다	공식 트위터 프랑스가 헝가리의 저항 속에 어려운 경기를 펼쳤으나 디디에 데샹 감독의 용병술에 힘입어 승점 1점을 획득했다. 프랑스는 19일 밤(한국시각) 헝가리 부다페스트에 위치한 푸스카스 아레나에서...
[스포터 PICK] '코펜하겐의 기적' 덴마크, 이번에도 에릭센에게 승리 선물할까?	웨일스와 덴마크는 27일 오전 1시(한국시간) 네덜란드 암스테르담에 위치한 요한 크루이프 아레나에서 '유럽축구연맹(UEFA) ' 16강전을 치른다. 웨일스는 승점 4점(1승 1무 1패, 골득실 +1)을 기록하며 A조 2위...
[GOAL 리뷰] 독일, 헝가리와 극적 2-2 무…조2위 16강행+헝가리 탈락	독일과 헝가리는 23일(현지시간) 알리안츠 아레나에서 UEFA  F조 3차전 경기를 치렀다. 선제골을 기록한 헝가리는 독일에게 동점골을 내줬으나 2분도 되지 않아 다시 승기를 잡았다. 하지만 경기 마지막 고르체카의...
'가시밭길만 걷는' 독일·포르투갈, 죽음의 조 생존 뒤에는 '또 난관'	조별리그가 모두 끝나고 16강 진출팀이 확정됐다. 가장 치열했던 조는 프랑스, 독일, 포르투갈, 헝가리가 묶인 F조였다. 프랑스를 제외한 나머지가 모두 최종전에서 16강 진출 여부를 가려야 했다. 헝가리가...
보고도 믿기 힘든 자책골 등장...EPL 골키퍼, 골문에 '엘리웁 덩크' 작렬	슬로바키아는 24일 오전 1시(한국시간) 스페인 세비야에 위치한 에스타디오 올림피코 데 라 카르투하에서 열린 UEFA 유럽축구선수권대회() E조 조별리그 3차전에서 스페인에 0-5로 대패했다. 이번 패배로 조 3위가...
"맨시티, 해리 케인 영입에 1억파운드 제시"	현재 케인은 잉글랜드 축구대표팀에 합류해 2020 유럽축구선수권대회() 조별리그를 소화 중이다. 케인은  동안에는 이적에 신경 쓰지 않고 대표팀 경기만 집중하겠다고 밝힌 바 있다. 【 청년일보= 】
블린트 “에릭센 좀 내버려둬…머리 속 자유로워야 복귀 가능”	덴마크 미드필더 에릭센은 지난 13일 열린  핀란드전에서 심장마비로 인해 경기 도중 쓰러졌다. 경기장에 있던 의료진과 동료들의 응급처치로 의식을 되찾은 그는 병원에서 빠르게 회복했고 심장에 제세동기를 단...
[해외선교·성지순례 안전 기상도] 델타 변이 기승… 특별여행주의보 연장	현재 유럽연합 국가들은 의 거리 응원으로 델타 변이 확산이 우려되는 상황이다. 인도네시아에선 최근 팬데믹 후 가장 많은 확진자가 발생했다. 전 세계적인 델타 변이 대확산 위기에 있는 만큼 해당 국가에...
